,Pulse(bpm),,,,,
8/1/2019 9:15,79,,,,,
7/31/2019 11:39,62,,,,,
7/31/2019 11:38,60,,,,,
7/30/2019 13:47,63,,,,,
7/30/2019 13:46,62,,,,,
7/29/2019 11:18,74,,,,,
7/29/2019 5:44,78,,,,,
7/29/2019 5:43,78,,,,,
7/29/2019 5:41,79,,,,,
7/28/2019 15:18,66,,,,,
7/28/2019 15:16,67,,,,,
7/28/2019 2:05,85,,,,,
7/28/2019 1:58,88,,,,,
7/26/2019 12:59,65,,,,,
7/26/2019 12:57,71,,,,,
7/26/2019 12:55,66,,,,,
7/26/2019 5:24,72,,,,,
7/25/2019 19:07,95,,,,,
7/25/2019 10:08,68,,,,,
7/24/2019 12:42,65,,,,,
7/23/2019 12:03,73,,,,,
7/22/2019 12:34,63,,,,,
7/22/2019 5:16,60,,,,,
7/21/2019 17:04,57,,,,,
7/20/2019 22:21,64,,,,,
7/18/2019 11:28,61,,,,,
7/17/2019 16:48,55,,,,,
7/17/2019 4:25,75,,,,,
7/16/2019 14:17,64,,,,,
7/16/2019 14:15,64,,,,,
7/16/2019 4:35,79,,,,,
7/15/2019 12:21,59,,,,,
7/15/2019 4:40,69,,,,,
7/14/2019 12:07,57,,,,,
7/14/2019 4:55,67,,,,,
7/14/2019 4:52,68,,,,,
7/13/2019 14:13,62,,,,,
7/13/2019 5:11,78,,,,,
7/12/2019 14:54,69,,,,,
7/12/2019 14:53,62,,,,,
7/11/2019 10:59,73,,,,,
7/10/2019 15:12,64,,,,,
7/10/2019 3:24,65,,,,,
7/9/2019 2:05,77,,,,,
7/8/2019 13:50,56,,,,,
7/8/2019 3:44,72,,,,,
7/6/2019 15:14,73,,,,,
7/5/2019 14:19,65,,,,,
7/5/2019 5:02,77,,,,,
7/4/2019 21:33,85,,,,,
7/4/2019 21:30,85,,,,,
7/4/2019 10:44,67,,,,,
7/4/2019 2:45,81,,,,,
7/3/2019 14:30,72,,,,,
7/2/2019 14:01,61,,,,,
7/2/2019 4:42,72,,,,,
7/2/2019 4:41,77,,,,,
7/1/2019 11:28,65,,,,,
7/1/2019 4:02,81,,,,,
6/30/2019 12:39,72,,,,,
6/30/2019 0:10,73,,,,,
6/29/2019 12:06,57,,,,,
6/28/2019 11:04,70,,,,,
6/28/2019 4:38,58,,,,,
6/28/2019 4:01,68,,,,,
6/27/2019 13:38,58,,,,,
6/26/2019 11:29,65,,,,,
6/26/2019 2:12,75,,,,,
6/25/2019 12:01,59,,,,,
6/25/2019 2:25,65,,,,,
6/25/2019 2:23,68,,,,,
6/24/2019 11:26,61,,,,,
6/24/2019 2:16,71,,,,,
6/23/2019 10:39,60,,,,,
6/22/2019 20:47,73,,,,,
6/22/2019 9:36,66,,,,,
6/22/2019 2:06,74,,,,,
6/21/2019 11:05,62,,,,,
6/20/2019 8:21,59,,,,,
6/19/2019 23:12,74,,,,,
6/19/2019 3:15,71,,,,,
6/18/2019 21:39,70,,,,,
6/18/2019 1:26,74,,,,,
6/17/2019 13:39,75,,,,,
6/17/2019 13:37,76,,,,,
6/17/2019 4:16,67,,,,,
6/16/2019 10:45,63,,,,,
6/16/2019 2:32,66,,,,,
6/16/2019 2:30,66,,,,,
6/15/2019 9:23,65,,,,,
6/15/2019 1:49,63,,,,,
6/15/2019 1:47,65,,,,,
6/14/2019 9:24,70,,,,,
6/14/2019 9:22,58,,,,,
6/13/2019 21:19,79,,,,,
6/13/2019 8:22,66,,,,,
6/11/2019 19:41,80,,,,,
6/11/2019 10:30,71,,,,,
6/11/2019 1:00,79,,,,,
6/10/2019 1:24,94,,,,,
6/9/2019 9:49,73,,,,,
6/9/2019 0:54,85,,,,,
6/8/2019 11:08,66,,,,,
6/8/2019 11:06,64,,,,,
6/8/2019 2:31,60,,,,,
6/8/2019 2:28,62,,,,,
6/7/2019 12:17,60,,,,,
6/7/2019 1:33,63,,,,,
6/7/2019 1:30,64,,,,,
6/6/2019 12:41,71,,,,,
6/6/2019 2:32,78,,,,,
6/5/2019 9:24,68,,,,,
6/4/2019 8:38,65,,,,,
6/4/2019 0:54,70,,,,,
6/3/2019 10:12,69,,,,,
6/3/2019 2:28,76,,,,,
6/2/2019 19:43,82,,,,,
6/2/2019 9:42,64,,,,,
6/2/2019 1:52,84,,,,,
5/31/2019 11:47,67,,,,,
5/31/2019 1:55,72,,,,,
5/30/2019 11:18,73,,,,,
5/30/2019 4:26,71,,,,,
5/29/2019 10:23,72,,,,,
5/29/2019 10:22,69,,,,,
5/28/2019 21:48,75,,,,,
5/28/2019 12:07,62,,,,,
5/27/2019 9:22,58,,,,,
5/27/2019 1:48,66,,,,,
5/26/2019 12:07,71,,,,,
5/26/2019 10:53,68,,,,,
5/26/2019 3:56,70,,,,,
5/26/2019 3:53,69,,,,,
5/26/2019 3:52,70,,,,,
5/26/2019 3:50,71,,,,,
5/25/2019 11:37,77,,,,,
5/24/2019 22:55,83,,,,,
5/24/2019 11:24,73,,,,,
5/24/2019 11:07,72,,,,,
5/24/2019 3:47,76,,,,,
5/24/2019 1:31,80,,,,,
5/23/2019 21:39,83,,,,,
5/23/2019 8:22,69,,,,,
5/22/2019 12:01,78,,,,,
5/22/2019 2:59,62,,,,,
5/22/2019 2:38,76,,,,,
5/22/2019 2:36,78,,,,,
5/20/2019 11:24,63,,,,,
5/20/2019 2:34,73,,,,,
5/19/2019 10:38,62,,,,,
5/19/2019 10:36,65,,,,,
5/19/2019 0:49,67,,,,,
5/19/2019 0:47,76,,,,,
5/18/2019 8:45,65,,,,,
5/18/2019 0:47,70,,,,,
5/18/2019 0:31,67,,,,,
5/16/2019 9:50,72,,,,,
5/15/2019 12:16,73,,,,,
5/15/2019 11:52,75,,,,,
5/15/2019 4:03,74,,,,,
5/15/2019 3:25,72,,,,,
5/14/2019 10:43,71,,,,,
5/14/2019 1:48,72,,,,,
5/14/2019 1:45,73,,,,,
5/13/2019 11:10,71,,,,,
5/13/2019 11:08,71,,,,,
5/13/2019 1:35,67,,,,,
5/13/2019 1:31,71,,,,,
5/12/2019 10:26,68,,,,,
5/12/2019 9:52,60,,,,,
5/12/2019 3:10,61,,,,,
5/12/2019 2:50,65,,,,,
5/11/2019 9:31,61,,,,,
5/10/2019 22:56,72,,,,,
5/10/2019 8:57,58,,,,,
5/8/2019 10:04,69,,,,,
5/8/2019 2:58,71,,,,,
5/8/2019 0:46,69,,,,,
5/7/2019 7:22,70,,,,,
5/6/2019 22:52,68,,,,,
5/6/2019 8:08,62,,,,,
5/6/2019 1:27,57,,,,,
5/5/2019 9:20,64,,,,,
5/4/2019 20:16,64,,,,,
5/4/2019 8:27,58,,,,,
5/4/2019 0:48,57,,,,,
5/3/2019 7:16,60,,,,,
5/3/2019 7:11,60,,,,,
5/3/2019 0:31,63,,,,,
5/3/2019 0:28,58,,,,,
5/2/2019 21:02,65,,,,,
5/1/2019 23:18,60,,,,,
5/1/2019 22:27,64,,,,,
5/1/2019 7:06,67,,,,,
5/1/2019 0:23,62,,,,,
5/1/2019 0:20,69,,,,,
4/30/2019 8:05,61,,,,,
4/28/2019 22:44,67,,,,,
4/28/2019 21:35,69,,,,,
4/28/2019 2:28,66,,,,,
4/27/2019 23:32,59,,,,,
4/27/2019 23:24,62,,,,,
4/27/2019 11:41,66,,,,,
4/27/2019 11:05,60,,,,,
4/26/2019 7:21,62,,,,,
4/25/2019 23:56,67,,,,,
4/25/2019 23:51,71,,,,,
4/25/2019 9:26,80,,,,,
4/24/2019 10:16,66,,,,,
4/22/2019 10:21,70,,,,,
4/22/2019 10:08,68,,,,,
4/21/2019 10:06,73,,,,,
4/20/2019 23:32,65,,,,,
4/20/2019 13:43,66,,,,,
4/20/2019 13:37,68,,,,,
4/20/2019 13:35,59,,,,,
4/17/2019 21:52,76,,,,,
4/17/2019 9:50,80,,,,,
4/16/2019 9:07,80,,,,,
4/16/2019 8:58,79,,,,,
4/15/2019 23:43,70,,,,,
4/15/2019 23:38,67,,,,,
